url,description,actual_price,purchase_price,data_offered,features,offer
https://www.lycamobile.co.uk/paymonthly/en/product-listing/24-month-plan,24 Month Unlimited,18.00,9.00,Unlimited,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",Half price
https://www.lycamobile.co.uk/paymonthly/en/product-listing/24-month-plan,24 Month Unlimited Plus,24.00,12.00,Unlimited,"['EU roaming included', 'Unlimited International Minutes', 'Unlimited UK minutes and text']",Half price
https://www.lycamobile.co.uk/paymonthly/en/product-listing/24-month-plan,24 Month 120GB,16.00,8.00,120GB,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",Half price
https://www.lycamobile.co.uk/paymonthly/en/product-listing/24-month-plan,24 Month 100GB,None,10.00,100GB,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",None
https://www.lycamobile.co.uk/paymonthly/en/product-listing/24-month-plan,24 Month 50GB,None,8.00,50GB,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",None
https://www.lycamobile.co.uk/paymonthly/en/product-listing/24-month-plan,24 Month 12GB,None,6.00,12GB,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",None
https://www.lycamobile.co.uk/paymonthly/en/product-listing/12-month-plan,12 Month Unlimited Plus,None,24.00,Unlimited,"['EU roaming included', 'Unlimited  International Minutes', 'Unlimited UK minutes and text']",None
https://www.lycamobile.co.uk/paymonthly/en/product-listing/12-month-plan,12 Month Unlimited,22.00,11.00,Unlimited,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",Half price
https://www.lycamobile.co.uk/paymonthly/en/product-listing/12-month-plan,12 Month 120GB,18.00,9.00,120GB,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",Half price
https://www.lycamobile.co.uk/paymonthly/en/product-listing/12-month-plan,12 Month 90GB,None,10.00,90GB,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",None
https://www.lycamobile.co.uk/paymonthly/en/product-listing/12-month-plan,12 Month 40GB,None,8.00,40GB,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",None
https://www.lycamobile.co.uk/paymonthly/en/product-listing/12-month-plan,12 Month 10GB,None,6.00,10GB,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",None
https://www.lycamobile.co.uk/paymonthly/en/product-listing/1-month-plan,1 Month Unlimited,24.00,12.00,Unlimited,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",Half price
https://www.lycamobile.co.uk/paymonthly/en/product-listing/1-month-plan,1 Month Unlimited Plus,30.00,15.00,Unlimited,"['EU roaming included', 'Unlimited International Minutes', 'Unlimited UK minutes and text']",Half price
https://www.lycamobile.co.uk/paymonthly/en/product-listing/1-month-plan,1 Month 120GB,22.00,11.00,120GB,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",Half price
https://www.lycamobile.co.uk/paymonthly/en/product-listing/1-month-plan,1 Month 50GB,None,15.00,50GB,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",None
https://www.lycamobile.co.uk/paymonthly/en/product-listing/1-month-plan,1 Month 30GB,None,10.00,30GB,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",None
https://www.lycamobile.co.uk/paymonthly/en/product-listing/1-month-plan,1 Month 5GB,5.00,2.50,5GB,"['EU roaming included', '100 International Minutes', 'Unlimited UK minutes and text']",Half price
